time_us,sda,scl,note
3677.50,0,1,
3682.50,0,0,
3687.50,0,0,
3687.50,0,1,
3692.50,0,0,
3697.50,1,0,
3697.50,1,1,
3702.50,1,0,
3705.00,1,0,
3710.00,0,0,
3710.00,0,1,
3720.00,1,1,
3725.00,1,1,
3730.00,0,1,
3730.00,0,0,
3732.50,1,0,
3732.50,1,1,
3737.50,1,0,
3742.50,0,0,
3742.50,0,1,
3747.50,0,0,
3752.50,1,0,
3752.50,1,1,
3757.50,1,0,
3762.50,0,0,
3762.50,0,1,
3767.50,0,0,
3772.50,0,0,
3772.50,0,1,
3777.50,0,0,
3782.50,0,0,
3782.50,0,1,
3787.50,0,0,
3792.50,0,0,
3792.50,0,1,
3797.50,0,0,
3802.50,0,0,
3802.50,0,1,
3807.50,0,0,
3812.50,1,0,
3812.50,1,1,
3817.50,1,0,
3820.00,1,0,
3825.00,0,0,
3825.00,0,1,
3835.00,1,1,
3840.00,1,1,
3845.00,0,1,
3845.00,0,0,
3847.50,1,0,
3847.50,1,1,
3852.50,1,0,
3857.50,0,0,
3857.50,0,1,
3862.50,0,0,
3867.50,1,0,
3867.50,1,1,
3872.50,1,0,
3877.50,0,0,
3877.50,0,1,
3882.50,0,0,
3887.50,0,0,
3887.50,0,1,
3892.50,0,0,
3897.50,0,0,
3897.50,0,1,
3902.50,0,0,
3907.50,0,0,
3907.50,0,1,
3912.50,0,0,
3917.50,0,0,
3917.50,0,1,
3922.50,0,0,
3927.50,1,0,
3927.50,1,1,
3932.50,1,0,
3935.00,1,0,
3940.00,0,0,
3940.00,0,1,
3950.00,1,1,
3955.00,1,1,
3960.00,0,1,
3960.00,0,0,
3962.50,1,0,
3962.50,1,1,
3967.50,1,0,
3972.50,0,0,
3972.50,0,1,
3977.50,0,0,
3982.50,1,0,
3982.50,1,1,
3987.50,1,0,
3992.50,0,0,
3992.50,0,1,
3997.50,0,0,
4002.50,0,0,
4002.50,0,1,
4007.50,0,0,
4012.50,0,0,
4012.50,0,1,
4017.50,0,0,
4022.50,0,0,
4022.50,0,1,
4027.50,0,0,
4032.50,0,0,
4032.50,0,1,
4037.50,0,0,
4042.50,1,0,
4042.50,1,1,
4047.50,1,0,
4050.00,1,0,
4055.00,0,0,
4055.00,0,1,
4065.00,1,1,
4070.00,1,1,
4075.00,0,1,
4075.00,0,0,
4077.50,1,0,
4077.50,1,1,
4082.50,1,0,
4087.50,0,0,
4087.50,0,1,
4092.50,0,0,
4097.50,1,0,
4097.50,1,1,
